symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,first_hit,R_multiple,start_value,end_value,total_return_amount,total_return_pct,max_drawdown_amount,max_drawdown_pct,daily_vol,return_risk_ratio,n_days
SPXUSD,2024-07-10,2,bearish,S2_NY: 5m retrace + 1m BOS,2024-07-10 13:45:00+00:00,5590.961,5592.197,5590.72,5576.48,,tp1,0.09749190938511713,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-07-17,2,bullish,S2_NY: 5m retrace + 1m BOS,2024-07-17 13:44:00+00:00,5610.736,5609.767,5617.14,5653.687,5666.306,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-07-24,3,bullish,S3_NY: 5m retrace + 1m BOS,2024-07-24 13:58:00+00:00,5502.919,5500.854,5507.047,5527.534,5539.572,tp1,0.9995157384989108,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-07-30,2,bearish,S2_NY: 5m retrace + 1m BOS,2024-07-30 13:57:00+00:00,5474.524,5475.78,5472.3,5459.911,5441.684,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-08-05,1,bullish,S1_NY: 5m retrace + 1m BOS,2024-08-05 13:40:00+00:00,5133.626,5093.364,5173.888000000001,5247.111,5314.502,tp1,1.2046656897322408,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-08-06,1,bullish,S1_NY: 5m retrace + 1m BOS,2024-08-06 13:51:00+00:00,5213.177,5206.521,5246.997,5266.937,5275.932,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-08-06,2,bullish,S2_NY: 5m retrace + 1m BOS,2024-08-06 13:51:00+00:00,5213.177,5206.521,5246.997,5266.937,5275.932,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-08-07,2,bearish,S2_NY: 5m retrace + 1m BOS,2024-08-07 13:45:00+00:00,5297.102,5300.692,5288.761,5251.951,5208.722,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-08-08,3,bearish,S3_NY: 5m retrace + 1m BOS,2024-08-08 13:55:00+00:00,5242.46,5245.037,5229.593,5175.791,5155.574,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-08-13,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-08-13 14:00:00+00:00,5377.87,5378.121,5364.046,5346.311,5342.664,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-08-13,3,bearish,S3_NY: 5m retrace + 1m BOS,2024-08-13 14:00:00+00:00,5377.87,5378.121,5369.546,5346.311,5342.664,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-08-14,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-08-14 14:07:00+00:00,5442.683,5442.876,5424.487,,,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-08-15,2,bearish,S2_NY: 5m retrace + 1m BOS,2024-08-15 14:05:00+00:00,5503.521,5505.772,5461.2,5446.873,,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-08-15,3,bearish,S3_NY: 5m retrace + 1m BOS,2024-08-15 14:05:00+00:00,5503.521,5505.772,5482.877,5446.873,,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
