symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,pnl_R,exit_time_utc,exit_price,exit_reason
SPXUSD,2024-02-14,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-02-14 14:44:00+00:00,4978.101,4979.741,4969.244,4962.082,4951.267,-1.0,2024-02-14 14:46:00+00:00,4979.741,stop_before_tp1
NSXUSD,2024-02-15,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-02-15 14:44:00+00:00,17781.086,17854.882,5001.117,,,-1.0,2024-02-15 18:20:00+00:00,17854.882,stop_before_tp1
SPXUSD,2024-02-16,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-02-16 14:44:00+00:00,5018.343,5018.093,17867.089,,,-1.0,2024-02-16 14:47:00+00:00,5018.093,stop_before_tp1
NSXUSD,2024-02-20,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-02-20 14:44:00+00:00,17523.008,17522.758,17665.665,,17693.331,-1.0,2024-02-20 14:45:00+00:00,17522.758,stop_before_tp1
SPXUSD,2024-02-26,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-02-26 14:39:00+00:00,5094.084,5094.334,5089.093,5079.331,5077.859,-1.0,2024-02-26 14:40:00+00:00,5094.334,stop_before_tp1
NSXUSD,2024-02-28,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-02-28 14:39:00+00:00,17892.576,17876.504,17900.087,17938.643,17971.065,0.23367,2024-02-28 14:42:00+00:00,17892.576,breakeven_after_tp1
SPXUSD,2024-02-29,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-02-29 14:39:00+00:00,5094.211,5094.461,5088.961,5054.979,,-1.0,2024-02-29 14:40:00+00:00,5094.461,stop_before_tp1
SPXUSD,2024-03-04,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-03-04 14:39:00+00:00,5129.879,5124.376,18297.942,,,0.0,2024-03-04 21:00:00+00:00,5129.879,timeout
NSXUSD,2024-03-05,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-03-05 14:39:00+00:00,18048.108,18047.858,18103.631,18149.708,18200.497,-1.0,2024-03-05 14:40:00+00:00,18047.858,stop_before_tp1
SPXUSD,2024-03-08,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-03-08 14:39:00+00:00,5167.539,5167.789,5156.427,5147.099,,-1.0,2024-03-08 14:40:00+00:00,5167.789,stop_before_tp1
SPXUSD,2024-03-12,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-03-12 14:44:00+00:00,5164.187,5164.437,5155.287,5119.209,,-1.0,2024-03-12 14:45:00+00:00,5164.437,stop_before_tp1
SPXUSD,2024-03-14,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-03-14 14:39:00+00:00,5156.212,5150.844,18090.809,,,-1.0,2024-03-14 14:41:00+00:00,5150.844,stop_before_tp1
NSXUSD,2024-03-15,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-03-15 14:39:00+00:00,17885.897,17858.204,17903.219,18069.899,,0.31275,2024-03-15 14:54:00+00:00,17885.897,breakeven_after_tp1
NSXUSD,2024-03-19,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-03-19 14:39:00+00:00,17868.589,17832.469,17878.808,18000.353,,0.14146,2024-03-19 14:59:00+00:00,17868.589,breakeven_after_tp1
NSXUSD,2024-03-21,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-03-21 14:39:00+00:00,18392.319,18426.539,5251.914,,,-1.0,2024-03-21 15:35:00+00:00,18426.539,stop_before_tp1
NSXUSD,2024-03-22,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-03-22 14:39:00+00:00,18283.786,18283.536,18330.02,18360.708,,-1.0,2024-03-22 14:40:00+00:00,18283.536,stop_before_tp1
SPXUSD,2024-03-27,2,bearish,S2_NY: retrace-allowed (bos_path),2024-03-27 14:43:00+00:00,5217.861,5221.379,5217.111,,,0.10659,2024-03-27 14:54:00+00:00,5217.861,breakeven_after_tp1
SPXUSD,2024-03-28,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-03-28 14:39:00+00:00,5252.293,5252.543,5249.206,5243.859,,-1.0,2024-03-28 14:40:00+00:00,5252.543,stop_before_tp1
NSXUSD,2024-03-28,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-03-28 14:39:00+00:00,18278.608,18278.358,18317.354,,,-1.0,2024-03-28 14:40:00+00:00,18278.358,stop_before_tp1
